epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6142,1.07896,3.32446,1.13286,0.03196,0.29835,0.13414,0.10821,0.86794,3.45707,0.8989,0.0001375,0.0001375,0.0001375
2,98.4093,1.05566,1.9259,1.04991,0.96914,0.11862,0.23895,0.19581,0.97592,2.8175,0.8978,0.000284654,0.000284654,0.000284654
3,147.243,1.06991,1.51822,1.05381,0.97768,0.11121,0.23465,0.19076,0.98636,2.76417,0.92543,0.000428838,0.000428838,0.000428838
4,195.874,1.07043,1.44546,1.0784,0.99157,0.07313,0.26417,0.17311,1.16201,2.95661,1.04738,0.000570051,0.000570051,0.000570051
5,244.314,1.0498,1.27158,1.02916,0.97957,0.14434,0.4648,0.32032,1.07732,2.56259,0.9995,0.000708295,0.000708295,0.000708295
6,294.175,1.04305,1.21748,1.06576,0.95316,0.2111,0.48555,0.30892,1.09369,2.25732,1.01771,0.000843569,0.000843569,0.000843569
7,343.462,1.00085,1.20861,1.055,0.62849,0.46733,0.56828,0.38558,0.95349,1.71505,0.94379,0.000975872,0.000975872,0.000975872
8,393.981,0.96525,1.11184,1.0454,0.6059,0.35899,0.53892,0.36429,1.04972,1.86357,1.00344,0.00110521,0.00110521,0.00110521
9,446.446,0.96952,1.16377,1.04921,0.65401,0.49904,0.6063,0.40538,1.02948,1.42963,1.01118,0.001151,0.001151,0.001151
10,495.845,0.94547,1.04489,1.01895,0.64512,0.54525,0.64699,0.41341,1.06738,1.36285,1.01109,0.00113863,0.00113863,0.00113863
11,546.816,0.95785,1.0504,1.01939,0.675,0.52265,0.6248,0.38441,1.09524,1.56964,1.03834,0.00112625,0.00112625,0.00112625
12,595.866,0.93623,1.00448,1.02182,0.67674,0.48007,0.55863,0.37064,1.03176,1.37243,1.0292,0.00111388,0.00111388,0.00111388
13,640.949,0.92174,0.99297,1.029,0.67818,0.57473,0.61557,0.37703,1.0197,1.19119,1.00502,0.0011015,0.0011015,0.0011015
14,686.288,0.92193,0.98161,1.02196,0.80666,0.59609,0.64923,0.40251,0.98168,1.05649,0.99077,0.00108913,0.00108913,0.00108913
15,735.823,0.92443,0.91712,1.00205,0.80165,0.53712,0.6365,0.39102,0.98188,1.11354,0.97159,0.00107675,0.00107675,0.00107675
16,785.198,0.93588,0.9692,1.02565,0.7301,0.60232,0.6812,0.43838,0.93572,1.0605,0.96879,0.00106437,0.00106437,0.00106437
17,830.036,0.88914,0.91291,0.99999,0.68427,0.62621,0.66771,0.4232,0.96509,1.05018,0.98484,0.001052,0.001052,0.001052
18,874.778,0.90217,0.90313,1.00838,0.69529,0.62961,0.65721,0.43593,0.93078,1.0272,0.95472,0.00103962,0.00103962,0.00103962
19,919.429,0.89411,0.89558,0.9974,0.6539,0.67705,0.69324,0.4582,0.97149,0.97569,0.9832,0.00102725,0.00102725,0.00102725
20,963.966,0.86573,0.85101,0.99656,0.63467,0.69539,0.68327,0.44155,0.92589,0.94682,0.95926,0.00101488,0.00101488,0.00101488
21,1009.15,0.85623,0.86479,0.98403,0.77123,0.707,0.70703,0.48245,0.88982,0.93158,0.9387,0.0010025,0.0010025,0.0010025
22,1054.32,0.86866,0.84429,0.98501,0.73884,0.65096,0.71405,0.4894,0.86103,0.89729,0.93336,0.000990125,0.000990125,0.000990125
23,1099.27,0.83293,0.81394,0.96496,0.76643,0.69065,0.72714,0.51164,0.84496,0.84241,0.93652,0.00097775,0.00097775,0.00097775
24,1144.47,0.84905,0.81181,0.97532,0.73513,0.65646,0.73621,0.50413,0.87443,0.85086,0.92749,0.000965375,0.000965375,0.000965375
25,1189.73,0.82261,0.77792,0.98212,0.77571,0.5902,0.64131,0.45352,0.85022,0.9102,0.93653,0.000953,0.000953,0.000953
26,1235.15,0.81628,0.7895,0.96953,0.63902,0.63622,0.64315,0.44607,0.88912,0.91032,0.9569,0.000940625,0.000940625,0.000940625
27,1280.42,0.8003,0.75299,0.96399,0.75932,0.63803,0.67193,0.45924,0.89669,0.92764,0.96067,0.00092825,0.00092825,0.00092825
28,1325.43,0.82409,0.77368,0.97479,0.69915,0.65336,0.70268,0.48725,0.86237,0.876,0.94039,0.000915875,0.000915875,0.000915875
29,1369.98,0.8062,0.73699,0.96174,0.72261,0.59746,0.681,0.45208,0.91631,0.89334,0.9688,0.0009035,0.0009035,0.0009035
30,1417.34,0.81784,0.74348,0.96432,0.62965,0.62288,0.68351,0.46717,0.89437,0.90519,0.95525,0.000891125,0.000891125,0.000891125
31,1466.87,0.7787,0.72366,0.96822,0.64318,0.69398,0.67367,0.46013,0.93639,0.91742,0.96886,0.00087875,0.00087875,0.00087875
32,1514.66,0.79993,0.72144,0.95917,0.70253,0.70048,0.71187,0.48087,0.86564,0.81672,0.9473,0.000866375,0.000866375,0.000866375
33,1563.21,0.78618,0.70317,0.95113,0.72047,0.71481,0.72002,0.49925,0.86963,0.78998,0.93448,0.000854,0.000854,0.000854
34,1610.03,0.78281,0.71227,0.94744,0.8002,0.66017,0.71378,0.49525,0.84661,0.77996,0.92969,0.000841625,0.000841625,0.000841625
35,1657.03,0.77817,0.69758,0.94831,0.75207,0.69658,0.72905,0.50383,0.84889,0.75732,0.93195,0.00082925,0.00082925,0.00082925
36,1708.69,0.79484,0.68585,0.95284,0.81411,0.69034,0.72479,0.48991,0.85888,0.77459,0.92727,0.000816875,0.000816875,0.000816875
37,1760.35,0.75998,0.66931,0.93841,0.68487,0.66237,0.70076,0.49063,0.84818,0.76143,0.94236,0.0008045,0.0008045,0.0008045
38,1809.77,0.76938,0.67002,0.94602,0.75907,0.68777,0.72607,0.50605,0.84774,0.7697,0.93781,0.000792125,0.000792125,0.000792125
39,1862.44,0.76414,0.67936,0.94262,0.76783,0.61962,0.70324,0.49256,0.84857,0.78623,0.93376,0.00077975,0.00077975,0.00077975
40,1912.34,0.73795,0.66549,0.94194,0.6442,0.66568,0.67856,0.47698,0.84397,0.80476,0.93912,0.000767375,0.000767375,0.000767375
41,1962.34,0.73791,0.65951,0.93478,0.78739,0.64122,0.71539,0.49774,0.83138,0.71626,0.93412,0.000755,0.000755,0.000755
42,2011.11,0.72236,0.63219,0.92356,0.80019,0.6478,0.696,0.48999,0.82877,0.69938,0.93064,0.000742625,0.000742625,0.000742625
43,2059.18,0.73913,0.63729,0.93728,0.77667,0.68873,0.72369,0.49485,0.84688,0.71296,0.93585,0.00073025,0.00073025,0.00073025
44,2106.26,0.71777,0.64113,0.92844,0.76012,0.68306,0.70317,0.47886,0.86996,0.79567,0.94716,0.000717875,0.000717875,0.000717875
45,2156.01,0.74855,0.64916,0.92483,0.7873,0.67122,0.71732,0.48902,0.85873,0.79341,0.9415,0.0007055,0.0007055,0.0007055
46,2208.25,0.73453,0.62002,0.93092,0.80231,0.66826,0.71106,0.49388,0.83491,0.77137,0.93775,0.000693125,0.000693125,0.000693125
47,2262.56,0.72527,0.65272,0.93701,0.70021,0.70144,0.68854,0.4726,0.85569,0.77848,0.94435,0.00068075,0.00068075,0.00068075
48,2314.81,0.75101,0.65494,0.93229,0.69829,0.69721,0.70132,0.485,0.85386,0.72205,0.93508,0.000668375,0.000668375,0.000668375
