epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.564,1.28573,1.74461,1.03934,0.96535,0.23784,0.74637,0.49385,1.15327,2.36906,0.96941,0.000647059,0.000647059,0.000647059
2,289.78,1.16389,0.96485,1.00596,0.62735,0.75102,0.61526,0.39279,1.21214,1.76846,1.02232,0.00130072,0.00130072,0.00130072
3,441.056,1.19183,0.87943,1.01719,0.52122,0.59979,0.5557,0.37133,1.17639,1.45906,1.02465,0.00194118,0.00194118,0.00194118
4,592.484,1.15874,0.84052,1.00995,0.84627,0.89299,0.9316,0.63567,1.1508,0.86316,1.01209,0.0019406,0.0019406,0.0019406
5,743.923,1.12587,0.81408,1.0035,0.8567,0.89322,0.92821,0.63177,1.15872,0.95074,1.02615,0.0019208,0.0019208,0.0019208
6,915.781,1.12805,0.79021,0.99699,0.88523,0.89648,0.94381,0.66032,1.09516,0.77925,0.99737,0.001901,0.001901,0.001901
7,1044.84,1.11838,0.74601,0.99717,0.85828,0.89968,0.93354,0.64389,1.12929,0.80629,1.0132,0.0018812,0.0018812,0.0018812
8,1171.37,1.09134,0.7339,0.98188,0.86983,0.8826,0.94693,0.66433,1.07313,0.77023,0.99816,0.0018614,0.0018614,0.0018614
9,1306.4,1.07795,0.70214,0.98284,0.84891,0.82747,0.9018,0.63034,1.09482,0.81416,1.01014,0.0018416,0.0018416,0.0018416
10,1441.98,1.06827,0.69315,0.98118,0.89412,0.89227,0.956,0.66271,1.10958,0.71703,1.00908,0.0018218,0.0018218,0.0018218
11,1572.23,1.06759,0.67638,0.98053,0.89956,0.87935,0.96104,0.67954,1.0787,0.6519,0.9958,0.001802,0.001802,0.001802
12,1702.35,1.06852,0.67154,0.97798,0.85644,0.91682,0.93871,0.67563,1.03484,0.68853,0.97355,0.0017822,0.0017822,0.0017822
13,1830.19,1.04104,0.64265,0.96941,0.88949,0.93063,0.96091,0.68831,1.04661,0.62256,0.97514,0.0017624,0.0017624,0.0017624
14,1958.57,1.06672,0.64259,0.97501,0.8718,0.91442,0.95669,0.66859,1.07839,0.7415,1.00477,0.0017426,0.0017426,0.0017426
15,2092.67,1.05774,0.63588,0.97468,0.89725,0.90395,0.94883,0.67766,1.07145,0.62189,0.98898,0.0017228,0.0017228,0.0017228
16,2225.73,1.04303,0.61657,0.97219,0.90087,0.91035,0.96189,0.67929,1.04276,0.63954,0.97928,0.001703,0.001703,0.001703
17,2352.05,1.05059,0.62326,0.97937,0.89838,0.91142,0.95853,0.68913,1.04486,0.60994,0.97349,0.0016832,0.0016832,0.0016832
18,2478.11,1.02294,0.60317,0.9629,0.89104,0.9164,0.94818,0.68672,1.04422,0.61804,0.9748,0.0016634,0.0016634,0.0016634
19,2609.37,1.02761,0.58979,0.96644,0.87199,0.93917,0.96775,0.70155,1.03349,0.60175,0.97483,0.0016436,0.0016436,0.0016436
20,2747.4,1.01335,0.59291,0.96783,0.89558,0.92102,0.96317,0.70476,1.0107,0.59309,0.97136,0.0016238,0.0016238,0.0016238
21,2877.49,1.00645,0.58346,0.96204,0.90686,0.92423,0.96623,0.68954,1.05811,0.60877,0.98149,0.001604,0.001604,0.001604
22,3012.15,1.00895,0.58462,0.95603,0.90744,0.92072,0.9641,0.70064,1.00303,0.61863,0.96291,0.0015842,0.0015842,0.0015842
23,3141.17,0.993,0.57994,0.95928,0.89187,0.89791,0.95652,0.69199,1.02251,0.57396,0.973,0.0015644,0.0015644,0.0015644
24,3275.2,1.00433,0.57732,0.95857,0.8862,0.92956,0.95641,0.70328,0.99636,0.57957,0.96961,0.0015446,0.0015446,0.0015446
25,3410.78,0.97201,0.56109,0.95128,0.90701,0.89524,0.96589,0.70212,1.02955,0.57329,0.96757,0.0015248,0.0015248,0.0015248
26,3543.75,0.99694,0.56874,0.9531,0.87931,0.90973,0.95628,0.68506,1.02288,0.5973,0.97616,0.001505,0.001505,0.001505
27,3672.54,0.99463,0.56405,0.95458,0.89868,0.92316,0.97066,0.70096,1.01519,0.57362,0.97117,0.0014852,0.0014852,0.0014852
28,3811.73,0.97164,0.5501,0.94899,0.91471,0.92714,0.97531,0.72153,0.98019,0.52597,0.95782,0.0014654,0.0014654,0.0014654
29,3942.91,0.97015,0.54451,0.94524,0.89355,0.91782,0.96604,0.70614,1.03379,0.57783,0.98189,0.0014456,0.0014456,0.0014456
30,4077.62,0.9702,0.55689,0.95114,0.88322,0.9317,0.96686,0.70922,1.00901,0.54,0.96964,0.0014258,0.0014258,0.0014258
31,4220.94,0.97248,0.54245,0.94521,0.89744,0.9152,0.96511,0.70747,1.00293,0.53871,0.96922,0.001406,0.001406,0.001406
32,4361.31,0.96726,0.5338,0.94721,0.91501,0.91916,0.9707,0.72096,0.99971,0.53004,0.96114,0.0013862,0.0013862,0.0013862
33,4490.66,0.9739,0.55856,0.94774,0.9319,0.89092,0.97149,0.70344,1.03276,0.55284,0.9736,0.0013664,0.0013664,0.0013664
34,4618.71,0.96936,0.53749,0.94733,0.8912,0.93542,0.97093,0.69433,1.05091,0.54743,0.98591,0.0013466,0.0013466,0.0013466
35,4748.88,0.9642,0.54068,0.94329,0.91738,0.91243,0.96967,0.71638,1.01425,0.52702,0.96621,0.0013268,0.0013268,0.0013268
36,4882.16,0.95546,0.52476,0.94382,0.91836,0.90035,0.96698,0.70068,1.03487,0.54279,0.97355,0.001307,0.001307,0.001307
37,5017.94,0.94043,0.5221,0.93588,0.90052,0.93703,0.96257,0.71831,0.99095,0.52442,0.96404,0.0012872,0.0012872,0.0012872
38,5156.88,0.93538,0.51792,0.93549,0.92355,0.90288,0.95832,0.71542,0.99395,0.54867,0.96791,0.0012674,0.0012674,0.0012674
39,5291.44,0.94686,0.51936,0.94245,0.8746,0.93787,0.96699,0.72176,1.00284,0.53266,0.96522,0.0012476,0.0012476,0.0012476
40,5422.54,0.93344,0.51107,0.93383,0.89892,0.93017,0.9638,0.70708,1.00403,0.53442,0.96194,0.0012278,0.0012278,0.0012278
41,5550.69,0.95107,0.52192,0.93617,0.8893,0.9259,0.95849,0.71241,0.99344,0.52059,0.9571,0.001208,0.001208,0.001208
42,5681.48,0.92653,0.51359,0.93909,0.90992,0.93383,0.9711,0.71707,0.99233,0.51673,0.96394,0.0011882,0.0011882,0.0011882
43,5824.6,0.92871,0.49823,0.93379,0.91627,0.91889,0.96257,0.71713,0.97161,0.51774,0.95769,0.0011684,0.0011684,0.0011684
